 State-gov, Bachelors, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Tech-support, White, Female, United-States, <=50K
 ?, 7th-8th, Never-married, ?, White, Male, Mexico, <=50K
 ?, Bachelors, Never-married, ?, Asian-Pac-Islander, Male, ?, <=50K
 Private, Prof-school, Never-married, Prof-specialty, White, Female, United-States, >50K
 Private, HS-grad, Never-married, Prof-specialty, White, Female, United-States, <=50K
 ?, Some-college, Widowed, ?, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Tech-support, White, Male, United-States, <=50K
 ?, Preschool, Widowed, ?, White, Female, El-Salvador, <=50K
 Local-gov, HS-grad, Divorced, Adm-clerical, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private, 11th, Divorced, Other-service, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Self-emp-not-inc, Some-college, Separated, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Prof-specialty, White, Female, Canada, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Priv-house-serv, White, Female, United-States, <=50K
 Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Private, 7th-8th, Widowed, Protective-serv, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Self-emp-not-inc, Bachelors, Never-married, Transport-moving, White, Male, United-States, <=50K
 Federal-gov, Bachelors, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Self-emp-not-inc, Bachelors, Never-married, Sales, Black, Male, United-States, >50K
 Local-gov, Masters, Divorced, Prof-specialty, White, Female, United-States, >50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, Black, Male, United-States, <=50K
 Local-gov, Masters, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Transport-moving, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Prof-specialty, Other, Female, Germany, <=50K
 Private, Some-college, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, Asian-Pac-Islander, Female, United-States, <=50K
 Private, Prof-school, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, Assoc-voc, Never-married, Adm-clerical, White, Male, United-States, >50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 ?, Some-college, Widowed, ?, White, Female, United-States, <=50K
 Federal-gov, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Self-emp-not-inc, HS-grad, Widowed, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, Bachelors, Divorced, Sales, White, Male, United-States, <=50K
 Federal-gov, Some-college, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Local-gov, Bachelors, Never-married, Prof-specialty, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 ?, HS-grad, Divorced, ?, White, Female, United-States, <=50K
 Private, Assoc-acdm, Separated, Craft-repair, White, Male, United-States, <=50K
 Federal-gov, Some-college, Never-married, Craft-repair, White, Male, United-States, <=50K
 ?, Bachelors, Never-married, ?, White, Female, ?, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Exec-managerial, White, Male, United-States, <=50K
 Local-gov, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, 12th, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, Asian-Pac-Islander, Male, ?, <=50K
 Private, Some-college, Divorced, Sales, White, Female, United-States, <=50K
 Self-emp-not-inc, Assoc-acdm, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Masters, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, United-States, <=50K
 Private, 7th-8th, Separated, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Widowed, Prof-specialty, White, Female, United-States, <=50K
 Federal-gov, HS-grad, Divorced, Prof-specialty, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, El-Salvador, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Male, United-States, <=50K
 ?, Bachelors, Never-married, ?, White, Male, United-States, <=50K
 Private, 11th, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Prof-specialty, White, Male, United-States, >50K
 Private, Masters, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, Assoc-acdm, Separated, Prof-specialty, White, Female, United-States, <=50K
 Local-gov, Bachelors, Never-married, Prof-specialty, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Tech-support, White, Male, England, <=50K
 ?, HS-grad, Divorced, ?, Black, Female, United-States, <=50K
 Federal-gov, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Masters, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Self-emp-not-inc, Assoc-voc, Divorced, Prof-specialty, White, Female, United-States, <=50K
 ?, HS-grad, Widowed, ?, White, Female, United-States, <=50K
 ?, Assoc-acdm, Divorced, ?, White, Male, United-States, <=50K
 State-gov, Bachelors, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, 9th, Divorced, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, Masters, Divorced, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, Ecuador, <=50K
 Private, 9th, Divorced, Other-service, Black, Male, United-States, <=50K
 Private, HS-grad, Separated, Adm-clerical, White, Female, United-States, <=50K
 ?, HS-grad, Widowed, ?, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Exec-managerial, White, Female, United-States, <=50K
 State-gov, HS-grad, Never-married, Other-service, Black, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, Prof-school, Never-married, Prof-specialty, White, Female, United-States, >50K
 Private, Bachelors, Never-married, Sales, Asian-Pac-Islander, Male, ?, >50K
 Private, HS-grad, Divorced, Priv-house-serv, White, Female, United-States, <=50K
 Local-gov, Assoc-acdm, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Self-emp-inc, Assoc-acdm, Never-married, Sales, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Exec-managerial, Black, Male, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Local-gov, HS-grad, Never-married, Protective-serv, White, Male, United-States, <=50K
 Private, Assoc-acdm, Never-married, Other-service, Black, Male, Jamaica, <=50K
 Private, Some-college, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, 10th, Divorced, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 State-gov, Bachelors, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Local-gov, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Private, Assoc-voc, Divorced, Craft-repair, Amer-Indian-Eskimo, Male, United-States, <=50K
 Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Black, Male, United-States, <=50K
 Private, HS-grad, Divorced, Transport-moving, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Self-emp-inc, HS-grad, Divorced, Sales, White, Male, United-States, <=50K
 Private, 11th, Divorced, Handlers-cleaners, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Female, United-States, <=50K
 Private, Preschool, Married-civ-spouse, Other-service, White, Male, El-Salvador, <=50K
 Private, Bachelors, Never-married, Sales, Asian-Pac-Islander, Male, Taiwan, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Transport-moving, White, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Other-service, White, Female, United-States, <=50K
 Local-gov, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, 12th, Divorced, Machine-op-inspct, White, Male, United-States, <=50K
 State-gov, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 State-gov, HS-grad, Divorced, Adm-clerical, White, Male, United-States, <=50K
 Self-emp-inc, Bachelors, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, Asian-Pac-Islander, Female, Vietnam, <=50K
 Self-emp-inc, HS-grad, Separated, Other-service, White, Male, United-States, <=50K
 Local-gov, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Widowed, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, 12th, Never-married, Craft-repair, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, 12th, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, Bachelors, Separated, Exec-managerial, White, Male, United-States, >50K
 Self-emp-not-inc, Some-college, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, HS-grad, Widowed, Machine-op-inspct, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Sales, White, Female, United-States, <=50K
 Local-gov, Masters, Never-married, Prof-specialty, White, Female, United-States, >50K
 ?, 7th-8th, Never-married, ?, White, Female, United-States, <=50K
 Self-emp-not-inc, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 ?, Masters, Never-married, ?, White, Female, United-States, >50K
 Private, 10th, Never-married, Sales, White, Male, El-Salvador, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Craft-repair, White, Male, United-States, >50K
 Self-emp-inc, HS-grad, Separated, Adm-clerical, White, Male, United-States, <=50K
 Local-gov, HS-grad, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, Outlying-US(Guam-USVI-etc), <=50K
 State-gov, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 ?, 12th, Never-married, ?, White, Male, United-States, <=50K
 Private, Assoc-acdm, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, 11th, Never-married, Craft-repair, White, Male, United-States, <=50K
 Federal-gov, HS-grad, Never-married, Craft-repair, Black, Male, United-States, <=50K
 Private, 11th, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Tech-support, White, Female, United-States, <=50K
 Private, Some-college, Married-spouse-absent, Craft-repair, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 Federal-gov, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Local-gov, Bachelors, Separated, Prof-specialty, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Female, United-States, <=50K
 ?, 10th, Divorced, ?, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Prof-specialty, White, Male, United-States, <=50K
 Private, Prof-school, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 ?, HS-grad, Widowed, ?, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Self-emp-not-inc, Some-college, Widowed, Craft-repair, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Exec-managerial, White, Male, United-States, >50K
 Self-emp-not-inc, Some-college, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Craft-repair, White, Male, Mexico, <=50K
 Private, Assoc-acdm, Divorced, Exec-managerial, White, Male, United-States, >50K
 Self-emp-inc, Some-college, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Handlers-cleaners, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private, HS-grad, Divorced, Transport-moving, White, Male, United-States, <=50K
 Federal-gov, Assoc-acdm, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, United-States, >50K
 Private, Some-college, Never-married, Craft-repair, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Self-emp-not-inc, Bachelors, Married-spouse-absent, Exec-managerial, Black, Male, Jamaica, >50K
 Private, HS-grad, Divorced, Machine-op-inspct, Black, Female, United-States, <=50K
 Federal-gov, Some-college, Separated, Craft-repair, Black, Male, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, 12th, Never-married, Sales, White, Female, ?, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Self-emp-not-inc, 9th, Divorced, Craft-repair, White, Male, United-States, <=50K
 ?, Some-college, Widowed, ?, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Self-emp-not-inc, Assoc-acdm, Divorced, Exec-managerial, White, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Tech-support, White, Male, United-States, <=50K
 ?, Some-college, Divorced, ?, White, Female, United-States, <=50K
 ?, Masters, Never-married, ?, White, Female, United-States, >50K
 Private, HS-grad, Never-married, Sales, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Other-service, Black, Female, United-States, <=50K
 Federal-gov, Some-college, Divorced, Adm-clerical, White, Male, United-States, <=50K
 Private, 10th, Divorced, Craft-repair, White, Male, United-States, <=50K
 Self-emp-inc, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Female, United-States, <=50K
 State-gov, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 ?, 10th, Never-married, ?, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Federal-gov, Prof-school, Never-married, Prof-specialty, White, Male, United-States, >50K
 Private, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Prof-specialty, White, Female, Canada, <=50K
 Private, Assoc-acdm, Separated, Other-service, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Male, United-States, <=50K
 ?, 11th, Separated, ?, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, Black, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Assoc-acdm, Never-married, Transport-moving, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, Black, Male, Outlying-US(Guam-USVI-etc), <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 ?, Assoc-acdm, Never-married, ?, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Local-gov, Some-college, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Local-gov, Bachelors, Never-married, Prof-specialty, Black, Female, Germany, <=50K
 Private, 10th, Never-married, Craft-repair, White, Male, United-States, <=50K
 ?, Assoc-acdm, Divorced, ?, White, Male, United-States, <=50K
 State-gov, HS-grad, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Sales, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Private, 11th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Self-emp-inc, HS-grad, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, Assoc-voc, Divorced, Other-service, White, Female, ?, <=50K
 Private, Assoc-acdm, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Assoc-acdm, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, 9th, Never-married, Machine-op-inspct, White, Female, United-States, <=50K
 Self-emp-not-inc, Some-college, Never-married, Craft-repair, Asian-Pac-Islander, Male, United-States, <=50K
 State-gov, Masters, Married-spouse-absent, Prof-specialty, Asian-Pac-Islander, Female, China, <=50K
 Private, HS-grad, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Masters, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 State-gov, 10th, Divorced, Other-service, Black, Female, United-States, <=50K
 Local-gov, Bachelors, Never-married, Prof-specialty, Black, Male, ?, >50K
 Private, HS-grad, Never-married, Handlers-cleaners, Black, Male, Jamaica, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 ?, 9th, Never-married, ?, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Female, United-States, <=50K
 State-gov, Doctorate, Never-married, Prof-specialty, Black, Female, United-States, <=50K
 Federal-gov, Assoc-acdm, Never-married, Transport-moving, Black, Male, United-States, <=50K
 Private, Assoc-acdm, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Self-emp-not-inc, Some-college, Divorced, Tech-support, White, Female, United-States, >50K
 Private, 9th, Married-spouse-absent, Craft-repair, White, Male, Mexico, <=50K
 Private, 10th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, 9th, Divorced, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, Bachelors, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Self-emp-not-inc, HS-grad, Widowed, Other-service, White, Female, United-States, <=50K
 ?, Some-college, Widowed, ?, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 State-gov, Some-college, Never-married, Transport-moving, Black, Male, United-States, <=50K
 Federal-gov, HS-grad, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Male, United-States, >50K
 Private, Doctorate, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, 12th, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Male, United-States, >50K
 Local-gov, Bachelors, Divorced, Prof-specialty, Black, Female, United-States, <=50K
 Private, Bachelors, Divorced, Sales, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Federal-gov, Bachelors, Divorced, Protective-serv, White, Male, United-States, >50K
 Self-emp-not-inc, Prof-school, Divorced, Prof-specialty, White, Male, United-States, <=50K
 State-gov, Some-college, Never-married, Craft-repair, White, Female, United-States, <=50K
 Private, Assoc-acdm, Never-married, Tech-support, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Local-gov, HS-grad, Never-married, Transport-moving, Asian-Pac-Islander, Male, United-States, <=50K
 Local-gov, Bachelors, Never-married, Adm-clerical, White, Male, United-States, <=50K
 ?, Masters, Never-married, ?, White, Male, United-States, <=50K
 Private, Assoc-acdm, Never-married, Other-service, Asian-Pac-Islander, Female, Philippines, <=50K
 Federal-gov, Doctorate, Never-married, Prof-specialty, White, Female, United-States, >50K
 Private, HS-grad, Divorced, Transport-moving, White, Male, United-States, >50K
 Private, Bachelors, Divorced, Sales, White, Male, United-States, >50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 ?, HS-grad, Divorced, ?, White, Female, United-States, >50K
 Private, Bachelors, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, Black, Male, United-States, <=50K
 Private, 11th, Divorced, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Federal-gov, Some-college, Divorced, Prof-specialty, White, Male, United-States, >50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Sales, White, Female, United-States, <=50K
 Private, Bachelors, Separated, Exec-managerial, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Tech-support, Asian-Pac-Islander, Female, Philippines, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Other-service, White, Female, United-States, <=50K
 State-gov, Assoc-acdm, Divorced, Prof-specialty, Black, Male, United-States, <=50K
 Private, 11th, Never-married, Transport-moving, White, Male, United-States, >50K
 Private, Bachelors, Never-married, Craft-repair, White, Male, Mexico, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Tech-support, White, Female, United-States, <=50K
 Self-emp-inc, HS-grad, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Male, United-States, <=50K
 Local-gov, Masters, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Local-gov, Bachelors, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, Bachelors, Widowed, Prof-specialty, White, Female, United-States, >50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Local-gov, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 ?, Bachelors, Never-married, ?, White, Male, United-States, <=50K
 State-gov, Masters, Divorced, Prof-specialty, White, Male, United-States, >50K
 Federal-gov, 11th, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Male, United-States, <=50K
 Federal-gov, Some-college, Divorced, Prof-specialty, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private, HS-grad, Divorced, Sales, White, Female, United-States, <=50K
 Private, Assoc-voc, Widowed, Adm-clerical, White, Male, United-States, <=50K
 Private, Masters, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Bachelors, Divorced, Sales, White, Male, United-States, >50K
 Private, HS-grad, Married-spouse-absent, Handlers-cleaners, White, Male, Guatemala, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Self-emp-not-inc, Assoc-acdm, Divorced, Sales, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Local-gov, Some-college, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Self-emp-inc, Prof-school, Divorced, Prof-specialty, White, Male, United-States, >50K
 Private, 11th, Never-married, Other-service, White, Male, United-States, <=50K
 State-gov, Assoc-voc, Never-married, Tech-support, White, Female, United-States, <=50K
 Self-emp-not-inc, 5th-6th, Never-married, Transport-moving, White, Male, United-States, <=50K
 State-gov, Masters, Never-married, Prof-specialty, Asian-Pac-Islander, Male, Japan, <=50K
 Private, Some-college, Divorced, Transport-moving, White, Male, United-States, >50K
 Federal-gov, Some-college, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, 5th-6th, Never-married, Handlers-cleaners, White, Male, Mexico, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 State-gov, Some-college, Never-married, Protective-serv, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 State-gov, Bachelors, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, 7th-8th, Separated, Farming-fishing, White, Male, Mexico, <=50K
 Private, HS-grad, Separated, Sales, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
