 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Female, United-States, <=50K
 Self-emp-inc, Some-college, Divorced, Other-service, White, Male, United-States, <=50K
 Self-emp-not-inc, 10th, Married-spouse-absent, Adm-clerical, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, Mexico, <=50K
 Private, Bachelors, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, Assoc-acdm, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, 5th-6th, Separated, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Sales, White, Female, United-States, <=50K
 Private, Some-college, Separated, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Separated, Other-service, White, Female, United-States, <=50K
 Private, Assoc-voc, Divorced, Adm-clerical, Black, Female, United-States, <=50K
 Local-gov, Assoc-voc, Separated, Prof-specialty, Black, Female, United-States, <=50K
 Private, 7th-8th, Divorced, Transport-moving, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Local-gov, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 State-gov, Some-college, Divorced, Prof-specialty, White, Male, United-States, <=50K
 Private, HS-grad, Separated, Handlers-cleaners, White, Male, Puerto-Rico, <=50K
 Private, Masters, Married-spouse-absent, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, Assoc-voc, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Exec-managerial, Black, Female, United-States, >50K
 Federal-gov, Some-college, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, 7th-8th, Divorced, Other-service, White, Female, United-States, <=50K
 Private, Assoc-acdm, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Sales, White, Female, United-States, <=50K
 Private, Some-college, Widowed, Other-service, White, Female, United-States, <=50K
 Self-emp-not-inc, 10th, Divorced, Farming-fishing, White, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, White, Male, United-States, <=50K
 ?, Some-college, Separated, ?, White, Female, United-States, <=50K
 Local-gov, 7th-8th, Never-married, Other-service, Black, Female, United-States, <=50K
 Self-emp-inc, HS-grad, Divorced, Sales, White, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, Divorced, Craft-repair, White, Male, United-States, >50K
 Private, 10th, Separated, Other-service, White, Female, United-States, <=50K
 ?, HS-grad, Separated, ?, White, Female, United-States, <=50K
 Private, Bachelors, Separated, Prof-specialty, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, 11th, Divorced, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Priv-house-serv, Black, Female, ?, <=50K
 Private, 10th, Divorced, Craft-repair, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, 10th, Divorced, Adm-clerical, Other, Female, United-States, <=50K
 Private, Bachelors, Divorced, Exec-managerial, White, Male, United-States, >50K
 Private, Bachelors, Never-married, Sales, White, Male, United-States, <=50K
 Federal-gov, Assoc-acdm, Divorced, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Married-spouse-absent, Farming-fishing, Other, Male, Mexico, <=50K
 ?, 10th, Divorced, ?, White, Female, ?, <=50K
 Private, Assoc-acdm, Divorced, Adm-clerical, Black, Female, United-States, <=50K
 Private, 11th, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Private, 9th, Divorced, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, Black, Female, United-States, <=50K
 Private, 10th, Widowed, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Local-gov, 9th, Separated, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Separated, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, Asian-Pac-Islander, Male, Vietnam, <=50K
 Private, 10th, Separated, Other-service, White, Female, United-States, <=50K
 Private, 10th, Never-married, Handlers-cleaners, Black, Male, United-States, <=50K
 State-gov, Some-college, Separated, Exec-managerial, Black, Female, United-States, <=50K
 Private, HS-grad, Separated, Prof-specialty, Other, Female, Puerto-Rico, <=50K
 Local-gov, HS-grad, Divorced, Protective-serv, White, Male, United-States, <=50K
 Private, HS-grad, Widowed, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, 9th, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Local-gov, Some-college, Separated, Other-service, Black, Female, United-States, <=50K
 State-gov, HS-grad, Separated, Exec-managerial, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Self-emp-not-inc, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Local-gov, Masters, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Self-emp-inc, 7th-8th, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 ?, 11th, Never-married, ?, White, Female, United-States, <=50K
 Private, Assoc-acdm, Never-married, Exec-managerial, White, Female, ?, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Self-emp-inc, Some-college, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, 9th, Separated, Priv-house-serv, White, Female, Mexico, <=50K
 Private, Bachelors, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Craft-repair, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, 10th, Divorced, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Married-spouse-absent, Adm-clerical, White, Female, Puerto-Rico, <=50K
 Private, HS-grad, Separated, Prof-specialty, White, Female, United-States, <=50K
 Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Asian-Pac-Islander, Female, South, <=50K
 Private, HS-grad, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, Bachelors, Separated, Other-service, Asian-Pac-Islander, Female, Philippines, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Self-emp-not-inc, Masters, Divorced, Exec-managerial, White, Male, United-States, >50K
 ?, HS-grad, Separated, ?, White, Female, Mexico, <=50K
 Private, Some-college, Divorced, Adm-clerical, Black, Female, United-States, <=50K
 Self-emp-inc, Masters, Divorced, Prof-specialty, White, Male, Mexico, >50K
 Private, 9th, Never-married, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, Some-college, Widowed, Sales, White, Male, United-States, >50K
 Local-gov, Bachelors, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, Assoc-voc, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, 11th, Divorced, Priv-house-serv, White, Female, Guatemala, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Female, United-States, <=50K
 Self-emp-inc, Masters, Divorced, Sales, White, Female, United-States, >50K
 Local-gov, HS-grad, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Separated, Sales, White, Female, United-States, <=50K
 Private, Assoc-acdm, Divorced, Craft-repair, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Asian-Pac-Islander, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Assoc-acdm, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Craft-repair, White, Male, United-States, <=50K
 ?, Some-college, Separated, ?, White, Male, United-States, <=50K
 Private, 11th, Divorced, Machine-op-inspct, Black, Female, United-States, <=50K
 Self-emp-not-inc, HS-grad, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Prof-specialty, Black, Male, United-States, <=50K
 Private, Assoc-acdm, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Sales, White, Male, United-States, >50K
 Private, HS-grad, Never-married, Handlers-cleaners, Black, Male, United-States, <=50K
 ?, HS-grad, Separated, ?, White, Female, United-States, <=50K
 Self-emp-not-inc, Bachelors, Widowed, Prof-specialty, White, Male, United-States, >50K
 Private, 11th, Divorced, Priv-house-serv, Black, Female, United-States, <=50K
 State-gov, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, 11th, Separated, Craft-repair, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, Peru, <=50K
 Self-emp-inc, 10th, Widowed, Sales, White, Female, Canada, <=50K
 Private, Masters, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Local-gov, Masters, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Married-spouse-absent, Other-service, White, Female, United-States, <=50K
 Private, Bachelors, Separated, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, Other, Female, Columbia, <=50K
 State-gov, Some-college, Separated, Protective-serv, White, Male, United-States, <=50K
 Private, HS-grad, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, Assoc-voc, Married-spouse-absent, Prof-specialty, White, Female, United-States, <=50K
 Private, 7th-8th, Divorced, Transport-moving, White, Male, United-States, <=50K
 Self-emp-not-inc, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Female, Cuba, <=50K
 State-gov, Assoc-acdm, Married-spouse-absent, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Handlers-cleaners, Asian-Pac-Islander, Female, South, <=50K
 Self-emp-inc, Assoc-voc, Divorced, Exec-managerial, Asian-Pac-Islander, Female, Thailand, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Male, Honduras, <=50K
 Private, HS-grad, Widowed, Machine-op-inspct, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Machine-op-inspct, White, Male, United-States, <=50K
 Self-emp-inc, Assoc-voc, Divorced, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Tech-support, White, Female, United-States, <=50K
 Private, 7th-8th, Divorced, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Sales, White, Female, England, <=50K
 Federal-gov, Some-college, Divorced, Tech-support, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private, Doctorate, Divorced, Sales, White, Female, United-States, >50K
 Self-emp-inc, 10th, Widowed, Exec-managerial, White, Female, United-States, >50K
 Private, 10th, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 ?, HS-grad, Separated, ?, Black, Female, United-States, <=50K
 Federal-gov, Assoc-voc, Divorced, Prof-specialty, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private, Some-college, Divorced, Other-service, Black, Female, United-States, <=50K
 Federal-gov, HS-grad, Separated, Adm-clerical, Black, Female, United-States, <=50K
 Private, Masters, Divorced, Prof-specialty, White, Female, United-States, <=50K
 ?, HS-grad, Divorced, ?, White, Female, United-States, <=50K
 Private, 7th-8th, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, 11th, Divorced, Machine-op-inspct, White, Female, United-States, <=50K
 Private, Masters, Divorced, Prof-specialty, White, Male, United-States, >50K
 Private, HS-grad, Never-married, Sales, White, Male, United-States, >50K
 Private, Assoc-acdm, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, Amer-Indian-Eskimo, Male, Mexico, <=50K
 Private, HS-grad, Widowed, Handlers-cleaners, White, Male, ?, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, Black, Female, United-States, <=50K
 Local-gov, Masters, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Prof-specialty, Black, Male, United-States, <=50K
 Private, 7th-8th, Divorced, Tech-support, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, HS-grad, Widowed, Sales, White, Female, United-States, <=50K
 Private, Bachelors, Separated, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Tech-support, White, Female, United-States, <=50K
 State-gov, HS-grad, Married-spouse-absent, Other-service, Black, Female, Honduras, <=50K
 Private, HS-grad, Divorced, Farming-fishing, White, Male, United-States, <=50K
 Private, 10th, Separated, Sales, White, Female, United-States, <=50K
 Private, 1st-4th, Separated, Prof-specialty, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Sales, White, Female, United-States, <=50K
 Private, Assoc-voc, Divorced, Craft-repair, White, Female, United-States, <=50K
 Local-gov, Some-college, Divorced, Protective-serv, White, Male, United-States, <=50K
 Private, 10th, Separated, Other-service, White, Female, United-States, <=50K
 Private, 7th-8th, Never-married, Transport-moving, White, Male, Guatemala, <=50K
 Private, Some-college, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Private, Assoc-acdm, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, Assoc-acdm, Separated, Other-service, White, Female, United-States, <=50K
 Self-emp-not-inc, Some-college, Widowed, Farming-fishing, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Priv-house-serv, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, ?, <=50K
 Private, Assoc-acdm, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, HS-grad, Widowed, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, Bachelors, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Local-gov, Masters, Divorced, Prof-specialty, White, Female, United-States, >50K
 Private, Bachelors, Separated, Exec-managerial, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, Black, Male, United-States, <=50K
 Private, 10th, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Assoc-voc, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Transport-moving, White, Male, Mexico, <=50K
 Federal-gov, HS-grad, Divorced, Adm-clerical, Black, Female, ?, <=50K
 Private, HS-grad, Never-married, Exec-managerial, White, Female, England, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, 10th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, Black, Female, United-States, <=50K
 State-gov, Masters, Separated, Prof-specialty, White, Female, ?, <=50K
 Private, HS-grad, Widowed, Farming-fishing, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Female, United-States, <=50K
 Private, Assoc-voc, Divorced, Adm-clerical, Black, Female, United-States, <=50K
 Private, Some-college, Married-spouse-absent, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Tech-support, White, Female, United-States, <=50K
 Local-gov, HS-grad, Never-married, Adm-clerical, Amer-Indian-Eskimo, Male, United-States, <=50K
 Private, Some-college, Separated, Craft-repair, White, Male, United-States, >50K
 Private, HS-grad, Widowed, Sales, White, Female, Mexico, <=50K
 Private, Bachelors, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, 12th, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, 1st-4th, Widowed, Prof-specialty, White, Female, Mexico, <=50K
 Self-emp-not-inc, Some-college, Widowed, Craft-repair, White, Female, United-States, <=50K
 Local-gov, Bachelors, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Female, United-States, <=50K
 Private, Assoc-acdm, Divorced, Sales, White, Female, United-States, <=50K
 ?, HS-grad, Never-married, ?, Black, Female, United-States, <=50K
 Federal-gov, Some-college, Divorced, Exec-managerial, Asian-Pac-Islander, Female, Philippines, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Local-gov, Assoc-acdm, Widowed, Prof-specialty, White, Male, United-States, <=50K
 Local-gov, Some-college, Divorced, Protective-serv, White, Male, Germany, <=50K
 Private, Assoc-acdm, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, HS-grad, Separated, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Married-spouse-absent, Adm-clerical, White, Female, United-States, <=50K
 ?, Some-college, Divorced, ?, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, Puerto-Rico, <=50K
 Private, Bachelors, Divorced, Prof-specialty, Black, Female, United-States, <=50K
 Federal-gov, Bachelors, Never-married, Exec-managerial, Asian-Pac-Islander, Male, Cambodia, <=50K
 Private, Bachelors, Separated, Prof-specialty, White, Female, United-States, >50K
 Private, Bachelors, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Self-emp-not-inc, HS-grad, Never-married, Sales, Black, Female, Germany, <=50K
 Private, Some-college, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, 10th, Divorced, Other-service, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Prof-specialty, White, Female, United-States, >50K
 Private, Some-college, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Private, Assoc-voc, Never-married, Prof-specialty, Black, Female, United-States, <=50K
 Private, Bachelors, Divorced, Sales, Black, Male, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Male, United-States, <=50K
 Private, Assoc-voc, Divorced, Machine-op-inspct, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Handlers-cleaners, Black, Male, Nicaragua, <=50K
 ?, Some-college, Divorced, ?, White, Female, United-States, <=50K
 Local-gov, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Federal-gov, Some-college, Divorced, Adm-clerical, White, Male, United-States, <=50K
 Private, HS-grad, Separated, Other-service, Black, Male, United-States, <=50K
 Private, Bachelors, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Self-emp-not-inc, Bachelors, Never-married, Sales, White, Male, United-States, >50K
 Local-gov, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private, HS-grad, Separated, Adm-clerical, White, Female, Scotland, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, Canada, <=50K
 State-gov, Masters, Divorced, Prof-specialty, Black, Female, United-States, >50K
 Private, Some-college, Divorced, Machine-op-inspct, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, Black, Female, Jamaica, <=50K
 Private, HS-grad, Never-married, Farming-fishing, White, Female, United-States, <=50K
 Private, 11th, Never-married, Transport-moving, Amer-Indian-Eskimo, Male, United-States, <=50K
 Private, 7th-8th, Widowed, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, 9th, Divorced, Other-service, White, Female, United-States, <=50K
 State-gov, HS-grad, Separated, Adm-clerical, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, HS-grad, Separated, Adm-clerical, White, Female, Puerto-Rico, <=50K
 Private, Some-college, Separated, Exec-managerial, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Prof-specialty, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 ?, HS-grad, Divorced, ?, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Widowed, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, Mexico, <=50K
 Private, Bachelors, Never-married, Tech-support, White, Male, United-States, <=50K
 Private, HS-grad, Widowed, Handlers-cleaners, White, Female, United-States, <=50K
 State-gov, Masters, Never-married, Prof-specialty, Black, Female, United-States, <=50K
 Private, Assoc-voc, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Priv-house-serv, White, Female, Cuba, <=50K
 Private, HS-grad, Divorced, Exec-managerial, White, Female, United-States, <=50K
 State-gov, HS-grad, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Protective-serv, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Local-gov, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Local-gov, Masters, Never-married, Prof-specialty, White, Female, United-States, >50K
 Private, Some-college, Widowed, Exec-managerial, White, Female, United-States, <=50K
 Local-gov, Prof-school, Separated, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Self-emp-not-inc, HS-grad, Separated, Other-service, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Exec-managerial, White, Female, United-States, <=50K
 ?, HS-grad, Never-married, ?, Black, Female, United-States, <=50K
 Private, HS-grad, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, Assoc-voc, Never-married, Tech-support, Black, Female, United-States, <=50K
 Private, Bachelors, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Self-emp-not-inc, Bachelors, Divorced, Other-service, Black, Male, United-States, >50K
 Private, Some-college, Divorced, Exec-managerial, White, Female, United-States, <=50K
 State-gov, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Federal-gov, Bachelors, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, 10th, Divorced, Sales, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Other-service, White, Female, United-States, <=50K
 Local-gov, Masters, Divorced, Exec-managerial, Black, Female, United-States, >50K
 Private, Assoc-voc, Divorced, Other-service, White, Female, United-States, <=50K
 State-gov, Assoc-acdm, Divorced, Adm-clerical, White, Male, United-States, >50K
 ?, Some-college, Separated, ?, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Tech-support, White, Female, United-States, <=50K
 Private, HS-grad, Married-spouse-absent, Machine-op-inspct, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, Black, Female, United-States, <=50K
 Private, Doctorate, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Federal-gov, HS-grad, Divorced, Tech-support, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Sales, White, Female, United-States, >50K
 Private, 9th, Divorced, Handlers-cleaners, White, Female, United-States, <=50K
 Private, Some-college, Separated, Other-service, Asian-Pac-Islander, Female, United-States, <=50K
 Private, Some-college, Separated, Adm-clerical, Black, Female, United-States, <=50K
 Self-emp-not-inc, Assoc-acdm, Married-spouse-absent, Farming-fishing, Amer-Indian-Eskimo, Male, United-States, <=50K
 Private, 11th, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, 12th, Never-married, Other-service, Black, Female, ?, <=50K
 Private, Some-college, Divorced, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Transport-moving, White, Male, United-States, <=50K
 Local-gov, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Federal-gov, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Adm-clerical, Black, Female, ?, <=50K
 ?, HS-grad, Never-married, ?, White, Female, United-States, <=50K
 Private, Assoc-voc, Divorced, Sales, White, Female, United-States, <=50K
 Private, 7th-8th, Widowed, Machine-op-inspct, Other, Female, Dominican-Republic, <=50K
 Private, Some-college, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Local-gov, Some-college, Widowed, Adm-clerical, White, Female, Mexico, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 ?, Assoc-voc, Separated, ?, White, Female, Mexico, <=50K
 Private, Bachelors, Divorced, Sales, White, Male, United-States, >50K
